event_label	time
Alarm	2.069628060886829
Alarm_clock	2.5057859424920124
Animal	0.9149757074881036
Applause	4.6455088300220755
Arrow	0.45376653696498037
Artillery_fire	1.8630085178875624
Babbling	0.7529179282868531
Baby_laughter	1.1780304912478825
Bark	0.4689905913978464
Basketball_bounce	0.34631047152480143
Battle_cry	2.1178175257731993
Bell	1.6935271446332367
Bird	1.0804024122807032
Bleat	0.9923195691202865
Bouncing	0.351205665024631
Breathing	0.47109991426499165
Buzz	3.9583348765432094
Camera	0.5525363924050635
Cap_gun	0.42932923497267705
Car	8.512790734824282
Car_alarm	1.8529474548440072
Cat	0.8455461224489791
Caw	0.5923048642533933
Cheering	4.848940340909088
Child_singing	2.011059400230684
Choir	3.5538728395061727
Chop	0.2819404651162788
Chopping_(food)	0.4827030497592297
Clapping	0.4289321573948445
Clickety-clack	1.5581673544245753
Clicking	0.1471218911917101
Clip-clop	1.2432401162790698
Cluck	0.49059749857873797
Coin_(dropping)	1.2027318007662837
Computer_keyboard	0.6617183613752748
Conversation	7.6773812411847535
Coo	1.5651760104302486
Cough	0.522427522037219
Cowbell	1.6196006493506485
Creak	0.7826062378167638
Cricket	1.1989102236421745
Croak	1.0761236494597828
Crow	0.6655990491283674
Crowd	8.298937974265915
DTMF	0.46805000000000035
Dog	0.7706718918918907
Door	0.5538830409356722
Drill	3.598524621212123
Drip	0.5762771929824556
Engine	8.571953198127927
Engine_starting	1.6316448445171838
Explosion	2.289555251141552
Fart	0.9852742857142844
Female_singing	2.522203871987351
Filing_(rasp)	1.3682002383790217
Finger_snapping	0.22270972423802626
Fire	6.272404436860066
Fire_alarm	1.9594908536585354
Firecracker	2.409412815126049
Fireworks	2.7138170144462284
Frog	1.2781806588735396
Gasp	0.40262833675564746
Gears	1.3449050736497545
Giggle	0.9566671009771985
Glass	0.9788033395176258
Glass_shatter	1.4080089552238808
Gobble	0.6793853989813246
Groan	1.0030647985989494
Growling	1.2409747069710069
Hammer	0.3399040383846462
Hands	0.3531306901615273
Hiccup	0.2970016339869282
Honk	0.8396400679117134
Hoot	0.4795203094777562
Howl	2.560535714285716
Human_sounds	0.5763899792758765
Human_voice	0.566764309548253
Insect	4.903659331703339
Laughter	1.1687238979118333
Liquid	3.121547892720309
Machine_gun	1.4721484230055668
Male_singing	2.327519033361848
Mechanisms	8.854751038609566
Meow	0.8082068511198938
Moo	1.5041759002770094
Motorcycle	8.415702746365108
Mouse	0.6153898550724632
Music	7.405327292435777
Oink	0.5326387399463809
Owl	0.6450773542600897
Pant	1.1389249563699815
Pant_(dog)	1.2397565036420408
Patter	1.1636607142857134
Pig	0.9615807899461403
Plop	0.20475422427035306
Pour	3.939087378640778
Power_tool	4.702945098039211
Purr	2.060636879432626
Quack	0.5216600698486622
Radio	1.935825088339223
Rain_on_surface	9.211172222222224
Rapping	3.0073245033112594
Rattle	1.5367313054499359
Reversing_beeps	0.47044218415417594
Ringtone	2.5790676156583636
Roar	1.6802528735632196
Run	1.8404247311827922
Rustle	4.55558742949235
Scissors	0.48128733997155004
Scrape	0.6678952781673683
Scratch	1.1587807017543863
Screaming	1.5162701674277015
Sewing_machine	2.7249966216216204
Shout	1.5195188990825697
Shuffle	1.336561538461537
Shuffling_cards	0.6063567921440266
Singing	2.948969151670956
Single-lens_reflex_camera	0.42456937172774933
Siren	5.558096277278566
Skateboard	2.2611479421579492
Sniff	0.46657142857142836
Snoring	1.2468775877587766
Speech	0.9995695672405789
Speech_synthesizer	1.1671719641401799
Spray	2.1359040590405933
Squeak	0.5517508232711305
Squeal	0.49001703084832815
Steam	4.501236662106703
Stir	1.7306221889055466
Surface_contact	0.536254269574358
Tap	0.20210923159978533
Tap_dance	1.1858666666666682
Telephone_bell_ringing	1.80398184357542
Television	9.090316445830076
Tick	0.10363579082333928
Tick-tock	0.3873968253968249
Tools	0.5129338565022412
Train	9.418901649358581
Train_horn	2.258744777475027
Train_wheels_squealing	2.1628543922984353
Truck	9.033812661498706
Turkey	0.5551647058823533
Typewriter	0.9133274682306947
Typing	0.8353869158878512
Vehicle	7.43249137931035
Video_game_sound	7.929234236394156
Water	6.7171054044981595
Whimper_(dog)	0.8916742627345853
Whip	0.5966503215434074
Whispering	1.0630418516169933
Whistle	1.0596392294220662
Whistling	1.2130807635829677
Whoop	1.6271762899262916
Wind	9.15530992063491
Writing	0.8802658022690439
Yip	0.5061510538641683
and_pans	0.4380038398244644
bird_song	0.8318590161877292
bleep	0.3906448378505418
clink	0.6058004613610154
cock-a-doodle-doo	1.7450876623376625
crinkling	1.5270699223085482
dove	1.3562458745874577
dribble	6.397242582897035
eructation	1.1057669082125607
faucet	6.49744122965642
flapping_wings	1.305460634547588
footsteps	0.3772056749357015
gunfire	0.7390625763125753
heartbeat	0.42815279556124614
infant_cry	1.212200937316928
kid_speaking	1.0103384690394899
man_speaking	1.2075499505542198
mastication	0.9470639386189237
mice	0.776985281385283
river	9.076711320754717
rooster	1.091697963800904
silverware	0.4101672384219548
skidding	1.5071565557729953
smack	0.2964115853658533
sobbing	1.5204487881157132
speedboat	9.050193293885608
splatter	1.890459729570838
surf	8.889603318250375
thud	0.3694499799116109
thwack	0.4453464730290448
toot	0.9724128094725518
truck_horn	1.3973650975889778
tweet	0.6612333436949526
vroom	2.3151027586206894
waterfowl	0.9785620084694473
woman_speaking	1.2217449189048444
